zipcode clean,neighbourhood clean,city,state,zipcode,latitude,longitude,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped
90048,Beverly Grove,West Hollywood,CA,90048,34.07909901,-118.377806,Entire home/apt,"$1,995.00 ",,0,0,0,0,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08732635,-118.3720994,Private room,$70.00 ,,23,53,83,358,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.0903785,-118.3730341,Entire home/apt,$250.00 ,,30,60,90,365,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08768878,-118.3712121,Entire home/apt,$140.00 ,,0,13,13,226,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08549486,-118.3890591,Private room,$145.00 ,,30,60,90,365,4/2/2017
90046,Hollywood,Los Angeles,CA,90046,34.09515271,-118.3726191,Entire home/apt,$249.00 ,,26,56,86,355,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09108567,-118.3778462,Entire home/apt,$200.00 ,,0,0,0,0,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08913841,-118.371741,Entire home/apt,$130.00 ,,2,32,62,152,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09034843,-118.3846613,Private room,$70.00 ,,24,54,82,353,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.09319811,-118.3714464,Entire home/apt,$200.00 ,,28,58,88,88,4/2/2017
90069,West Hollywood,West Hollywood,CA,90069,34.08639374,-118.3807588,Private room,$139.00 ,,14,14,14,14,4/2/2017
